date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:16:15	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
00:16:15	51563/51563	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Dec%202018%2009:41:19%20GMT	https://colorlib.com/preview/theme/mona/	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/index.html	(from )
00:16:18	66638/66638	---MCZ	200	added ('OK')	text/css	etag:W/%225c2892d6-1044e%22	https://colorlib.com/preview/theme/mona/style.css	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/style.css	(from https://colorlib.com/preview/theme/mona/)
00:16:19	1469/1469	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225c28a267-5bd%22	https://colorlib.com/preview/theme/mona/img/core-img/favicon.ico	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/core-img/favicon.ico	(from https://colorlib.com/preview/theme/mona/)
00:16:19	10981/10981	---M--	200	added ('OK')	image/png	etag:%225c28a268-2ae5%22	https://colorlib.com/preview/theme/mona/img/core-img/curve.png	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/core-img/curve.png	(from https://colorlib.com/preview/theme/mona/)
00:16:20	51563/51563	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Dec%202018%2009:41:19%20GMT	https://colorlib.com/preview/theme/mona/index.html	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/index-2.html	(from https://colorlib.com/preview/theme/mona/)
00:16:21	707/707	---M--	200	added ('OK')	image/png	etag:%225c28a269-2c3%22	https://colorlib.com/preview/theme/mona/img/core-img/logo.png	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/img/core-img/logo.png	(from https://colorlib.com/preview/theme/mona/)
00:16:21	18015/18015	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Dec%202018%2009:40:59%20GMT	https://colorlib.com/preview/theme/mona/about.html	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/about.html	(from https://colorlib.com/preview/theme/mona/)
00:16:22	10276/10276	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Dec%202018%2009:41:33%20GMT	https://colorlib.com/preview/theme/mona/projects.html	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/projects.html	(from https://colorlib.com/preview/theme/mona/)
00:16:23	29133/29133	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Dec%202018%2009:41:24%20GMT	https://colorlib.com/preview/theme/mona/models.html	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/models.html	(from https://colorlib.com/preview/theme/mona/)
00:16:23	15617/15617	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Dec%202018%2009:41:03%20GMT	https://colorlib.com/preview/theme/mona/casting.html	C:/My%20Web%20Sites/angel%20again/colorlib.com/preview/theme/mona/casting.html	(from https://colorlib.com/preview/theme/mona/)
